IMG,EQUATION
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <msub>  <mi> e x p </mi>  <mrow>  <mi> q </mi>  </mrow>  </msub>  <mo> &#x2061 </mo>  <mi> A </mi>  <mo> = </mo>  <munderover>  <mo> &#x2211 </mo>  <mrow>  <mi> n </mi>  <mo> = </mo>  <mn> 0 </mn>  </mrow>  <mrow>  <mi> &#x221E </mi>  </mrow>  </munderover>  <mfrac>  <msup>  <mi> A </mi>  <mrow>  <mi> n </mi>  </mrow>  </msup>  <mrow>  <mo> [ </mo>  <mi> n </mi>  <mo> ] </mo>  <mo> ! </mo>  </mrow>  </mfrac>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <msub>  <mi> K </mi>  <mrow>  <mi> &#x03BC </mi>  <mi> &#x03BD </mi>  </mrow>  </msub>  <mo> = </mo>  <mfrac>  <mn> 1 </mn>  <mn> 2 </mn>  </mfrac>  <msub>  <mrow>  <mover>  <mi> g </mi>  <mo> &#x02D9 </mo>  </mover>  </mrow>  <mrow>  <mi> &#x03BC </mi>  <mi> &#x03BD </mi>  </mrow>  </msub>  <mo> . </mo>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <mo> &#x27E8 </mo>  <msub>  <mi> b </mi>  <mrow>  <mn> 1 </mn>  </mrow>  </msub>  <mo> ( </mo>  <mi> z </mi>  <mo> , </mo>  <mrow>  <mover>  <mi> z </mi>  <mo> &#x00AF </mo>  </mover>  </mrow>  <mo> ) </mo>  <msub>  <mi> a </mi>  <mrow>  <mn> 1 </mn>  </mrow>  </msub>  <mo> ( </mo>  <msup>  <mi> z </mi>  <mrow>  <mi> &#x2032 </mi>  </mrow>  </msup>  <mo> , </mo>  <msup>  <mrow>  <mover>  <mi> z </mi>  <mo> &#x00AF </mo>  </mover>  </mrow>  <mrow>  <mi> &#x2032 </mi>  </mrow>  </msup>  <mo> ) </mo>  <mo> &#x27E9 </mo>  <mo> = </mo>  <mo> &#x2212 </mo>  <mrow>  <mfrac>  <mn> 1 </mn>  <mi> &#x03C0 </mi>  </mfrac>  </mrow>  <mi> &#x2202 </mi>  <msub>  <mi> K </mi>  <mrow>  <mn> 0 </mn>  </mrow>  </msub>  <mo> ( </mo>  <msup>  <mi> d </mi>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <msup>  <mi> m </mi>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <mo> ( </mo>  <mrow>  <mi> p </mi>  </mrow>  <mo> ) </mo>  <mo> ) </mo>  <mo> , </mo>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <msub>  <mi> &#x2202 </mi>  <mrow>  <mi> u </mi>  </mrow>  </msub>  <msubsup>  <mi> &#x03BE </mi>  <mrow>  <mi> z </mi>  </mrow>  <mrow>  <mo> ( </mo>  <mn> 1 </mn>  <mo> ) </mo>  </mrow>  </msubsup>  <mo> + </mo>  <mrow>  <mfrac>  <mn> 1 </mn>  <mi> u </mi>  </mfrac>  </mrow>  <msubsup>  <mi> &#x03BE </mi>  <mrow>  <mi> z </mi>  </mrow>  <mrow>  <mo> ( </mo>  <mn> 1 </mn>  <mo> ) </mo>  </mrow>  </msubsup>  <mo> = </mo>  <mrow>  <mfrac>  <mn> 1 </mn>  <mrow>  <mo> ( </mo>  <mi> &#x03C0 </mi>  <mi> T </mi>  <mi> R </mi>  <msup>  <mo> ) </mo>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <mi> u </mi>  </mrow>  </mfrac>  </mrow>  <mrow>  <mo> [ </mo>  <msub>  <mi> C </mi>  <mrow>  <mi> z </mi>  </mrow>  </msub>  <msubsup>  <mi> H </mi>  <mrow>  <mi> z </mi>  <mi> z </mi>  </mrow>  <mrow>  <mi> &#x2032 </mi>  </mrow>  </msubsup>  <mo> + </mo>  <msub>  <mi> C </mi>  <mrow>  <mi> t </mi>  </mrow>  </msub>  <msubsup>  <mi> H </mi>  <mrow>  <mi> t </mi>  <mi> z </mi>  </mrow>  <mrow>  <mi> &#x2032 </mi>  </mrow>  </msubsup>  <mo> ] </mo>  </mrow>  <mo> . </mo>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <mi> &#x03BE </mi>  <mo> = </mo>  <msup>  <mi> &#x03B1 </mi>  <mrow>  <mo> &#x2212 </mo>  <mn> 1 </mn>  </mrow>  </msup>  <msqrt>  <mi> &#x03C1 </mi>  </msqrt>  <mi> c o s h </mi>  <mo> &#x2061 </mo>  <mo> ( </mo>  <mn> 2 </mn>  <msup>  <mi> &#x03B1 </mi>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <mi> t </mi>  <mo> ) </mo>  <mo> , </mo>  <mi> &#x03B7 </mi>  <mo> = </mo>  <msup>  <mi> &#x03B1 </mi>  <mrow>  <mo> &#x2212 </mo>  <mn> 1 </mn>  </mrow>  </msup>  <msqrt>  <mi> &#x03C1 </mi>  </msqrt>  <mi> s i n h </mi>  <mo> &#x2061 </mo>  <mo> ( </mo>  <mn> 2 </mn>  <msup>  <mi> &#x03B1 </mi>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <mi> t </mi>  <mo> ) </mo>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <msub>  <mi> S </mi>  <mrow>  <mi> B </mi>  </mrow>  </msub>  <mo> [ </mo>  <mi> A </mi>  <mo> ] </mo>  <mo> = </mo>  <mi> i </mi>  <mfrac>  <mn> 1 </mn>  <mi> &#x03B7 </mi>  </mfrac>  <msub>  <mi> S </mi>  <mrow>  <mi> C </mi>  <mi> S </mi>  </mrow>  </msub>  <mo> [ </mo>  <mi> A </mi>  <mo> ] </mo>  <mo> + </mo>  <mi> R </mi>  <mo> [ </mo>  <mrow>  <mover>  <mi> F </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  <mo> ] </mo>  <mo> + </mo>  <mfrac>  <mi> i </mi>  <mi> &#x03B8 </mi>  </mfrac>  <mo> &#x222B </mo>  <msup>  <mi> d </mi>  <mrow>  <mn> 3 </mn>  </mrow>  </msup>  <mi> x </mi>  <msup>  <mi> d </mi>  <mrow>  <mn> 3 </mn>  </mrow>  </msup>  <mi> y </mi>  <msubsup>  <mi> j </mi>  <mrow>  <mi> &#x03BC </mi>  </mrow>  <mrow>  <mi> T </mi>  </mrow>  </msubsup>  <mo> ( </mo>  <mi> x </mi>  <mo> ) </mo>  <msub>  <mrow>  <mrow>  <mi> K </mi>  </mrow>  </mrow>  <mrow>  <mi> &#x03BC </mi>  <mi> &#x03BD </mi>  </mrow>  </msub>  <mo> ( </mo>  <mi> x </mi>  <mo> &#x2212 </mo>  <mi> y </mi>  <mo> ) </mo>  <msubsup>  <mi> j </mi>  <mrow>  <mi> &#x03BD </mi>  </mrow>  <mrow>  <mi> T </mi>  </mrow>  </msubsup>  <mo> ( </mo>  <mi> y </mi>  <mo> ) </mo>  <mo> , </mo>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <msup>  <mi> e </mi>  <mrow>  <msubsup>  <mi> &#x03D5 </mi>  <mrow>  <mi> c </mi>  </mrow>  <mrow>  <mn> 6 </mn>  </mrow>  </msubsup>  </mrow>  </msup>  <mo> = </mo>  <mo> &#x2212 </mo>  <mrow>  <mfrac>  <msub>  <mi> v </mi>  <mrow>  <mi> a </mi>  </mrow>  </msub>  <msub>  <mrow>  <mover>  <mi> v </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  <mrow>  <mi> a </mi>  </mrow>  </msub>  </mfrac>  </mrow>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <mi> b </mi>  <mo> ( </mo>  <mi> k </mi>  <mo> ) </mo>  <msup>  <mi> b </mi>  <mrow>  <mo> &#x2020 </mo>  </mrow>  </msup>  <mo> ( </mo>  <mi> l </mi>  <mo> ) </mo>  <mo> &#x2212 </mo>  <msub>  <mi> q </mi>  <mrow>  <mi> e </mi>  </mrow>  </msub>  <msup>  <mi> b </mi>  <mrow>  <mo> &#x2020 </mo>  </mrow>  </msup>  <mo> ( </mo>  <mi> l </mi>  <mo> ) </mo>  <mi> b </mi>  <mo> ( </mo>  <mi> k </mi>  <mo> ) </mo>  <mo> = </mo>  <mi> &#x03B4 </mi>  <mo> ( </mo>  <mi> k </mi>  <mo> &#x2212 </mo>  <mi> l </mi>  <mo> ) </mo>  <mo> , </mo>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <mi> A </mi>  <mo> = </mo>  <mi> a </mi>  <msup>  <mi> r </mi>  <mrow>  <mi> &#x03B2 </mi>  </mrow>  </msup>  <mo> , </mo>  <mi> B </mi>  <mo> = </mo>  <mi> b </mi>  <msup>  <mi> r </mi>  <mrow>  <mi> &#x03B2 </mi>  <mo> + </mo>  <mn> 2 </mn>  </mrow>  </msup>  <mo> ; </mo>  <mi> a </mi>  <mrow>  <mo> / </mo>  </mrow>  <mi> b </mi>  <mo> = </mo>  <mi> c </mi>  <mo> ( </mo>  <mi> &#x03B2 </mi>  <mo> + </mo>  <mn> 2 </mn>  <mo> ) </mo>  <mrow>  <mo> / </mo>  </mrow>  <mo> ( </mo>  <mi> &#x03B2 </mi>  <mo> &#x2212 </mo>  <mn> 2 </mn>  <mo> ) </mo>  <mo> , </mo>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <mfrac>  <mn> 1 </mn>  <mrow>  <mi> d </mi>  <mo> &#x2212 </mo>  <mn> 2 </mn>  </mrow>  </mfrac>  <msup>  <mrow>  <mover>  <mi> &#x03A0 </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <mo> &#x2212 </mo>  <msub>  <mrow>  <mover>  <mi> &#x03A0 </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  <mrow>  <mi> a </mi>  <mi> b </mi>  </mrow>  </msub>  <msup>  <mrow>  <mover>  <mi> &#x03A0 </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  <mrow>  <mi> a </mi>  <mi> b </mi>  </mrow>  </msup>  <mo> = </mo>  <mfrac>  <mrow>  <mrow>  <mo> ( </mo>  <mi> d </mi>  <mo> &#x2212 </mo>  <mn> 1 </mn>  <mo> ) </mo>  </mrow>  <mrow>  <mo> ( </mo>  <mi> d </mi>  <mo> &#x2212 </mo>  <mn> 2 </mn>  <mo> ) </mo>  </mrow>  </mrow>  <msup>  <mi> &#x2113 </mi>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  </mfrac>  <mo> + </mo>  <mi> R </mi>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <msub>  <mrow>  <mi> A </mi>  </mrow>  <mrow>  <mi> f </mi>  <mi> i </mi>  </mrow>  </msub>  <mo> ( </mo>  <mi> s </mi>  <mo> ) </mo>  <mo> = </mo>  <mo> &#x2212 </mo>  <mi> i </mi>  <mfrac>  <mrow>  <msub>  <mi> Q </mi>  <mrow>  <mi> &#x03BC </mi>  <mi> &#x03BD </mi>  </mrow>  </msub>  <msubsup>  <mi> V </mi>  <mrow>  <mi> f </mi>  </mrow>  <mrow>  <mi> &#x03BC </mi>  </mrow>  </msubsup>  <mo> ( </mo>  <mrow>  <mover>  <mi> s </mi>  <mo> &#x00AF </mo>  </mover>  </mrow>  <mo> ) </mo>  <msubsup>  <mi> V </mi>  <mrow>  <mi> i </mi>  </mrow>  <mrow>  <mi> &#x03BD </mi>  </mrow>  </msubsup>  <mo> ( </mo>  <mrow>  <mover>  <mi> s </mi>  <mo> &#x00AF </mo>  </mover>  </mrow>  <mo> ) </mo>  </mrow>  <mrow>  <mo> ( </mo>  <mi> s </mi>  <mo> &#x2212 </mo>  <mrow>  <mover>  <mi> s </mi>  <mo> &#x00AF </mo>  </mover>  </mrow>  <mo> ) </mo>  <mo> [ </mo>  <mn> 1 </mn>  <mo> &#x2212 </mo>  <msup>  <mi> A </mi>  <mrow>  <mi> &#x2032 </mi>  </mrow>  </msup>  <mo> ( </mo>  <mrow>  <mover>  <mi> s </mi>  <mo> &#x00AF </mo>  </mover>  </mrow>  <mo> ) </mo>  <mo> ] </mo>  </mrow>  </mfrac>  <mo> + </mo>  <mi> N </mi>  <mo> , </mo>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <mi> &#x03B2 </mi>  <mo> ( </mo>  <mi> g </mi>  <mo> ) </mo>  <mfrac>  <mi> &#x2202 </mi>  <mrow>  <mi> &#x2202 </mi>  <mi> g </mi>  </mrow>  </mfrac>  <mo> = </mo>  <mn> 2 </mn>  <mi> g </mi>  <mi> &#x03B2 </mi>  <mo> ( </mo>  <mi> g </mi>  <mo> ) </mo>  <mfrac>  <mi> &#x2202 </mi>  <mrow>  <mi> &#x2202 </mi>  <msup>  <mi> g </mi>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  </mrow>  </mfrac>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <mi> &#x03D5 </mi>  <mo> ( </mo>  <mi> x </mi>  <mo> , </mo>  <mi> y </mi>  <mo> ) </mo>  <mo> = </mo>  <msup>  <mi> &#x03BB </mi>  <mrow>  <mn> 2 </mn>  <mi> s </mi>  </mrow>  </msup>  <mi> &#x03D5 </mi>  <mo> ( </mo>  <mi> &#x03BB </mi>  <mi> x </mi>  <mo> , </mo>  <mi> &#x03BB </mi>  <mi> y </mi>  <mo> ) </mo>  </math> <eos>"
